q0000,1,0,7 - 10 - 8 - 11 - 9 - 12 - ...,10,7,12,13,1
q0001,1,0,36 - 34 - 30 - 28 - 24 - ...,22,20,23,26,2
q0002,1,0,22 - 21 - 23 - 22 - 24 - 23 - ...,25,22,24,26,3
q0003,1,0,53 - 53 - 40 - 40 - 27 - 27 - ...,14,12,27,53,4
q0004,1,0,21 - 9 - 21 - 11 - 21 - 13 - 21 - ...,15,14,21,23,5
q0005,1,0,58 - 52 - 46 - 40 - 34 - ...,28,26,30,32,6
q0006,1,0,3 - 4 - 7 - 8 - 11 - 12 - ...,15,7,14,10,7
q0007,1,0,8 - 22 - 8 - 28 - 8 - ...,34,9,32,26,8
q0008,1,0,31 - 29 - 24 - 22 - 17 - ...,15,13,14,12,9
q0009,1,0,1.5 - 2.3 - 3.1 - 3.9 - ...,4.7,4.2,4.4,4.1,10
q0050,1,0,28 - 25 - 5 - 21 - 18 - 5 - 14 - ...,11 - 5,10 - 7,11 - 8,5 - 10,1
q0051,1,0,8 - 11 - 21 - 15 - 18 - 21 - 22 - ...,25 - 21,25 - 18,25 - 29,22 - 26,2
q0052,1,0,9 - 16 - 23 - 30 - 37 - 44 - 51 - ...,58 - 65,59 - 66,56 - 62,58 - 66,3
q0053,1,0,2 - 8 - 14 - 20 - 26 - 32 - 38 - ...,44 - 50,2 - 46,42 - 48,40 - 42,4
q0054,1,0,9 - 11 - 33 - 13 - 15 - 33 - 17 - ...,19 - 33,33 - 35,33 - 19,15 - 33,5
q0055,1,0,2 - 3 - 4 - 5 - 6 - 4 - 8 - ...,9 - 4,9 - 10, 10 - 4,4 - 8,6
q0056,1,0,17 - 17 - 34 - 20 - 20 - 31 - 23 - ...,23 - 28,26 - 23,23 - 33,34 - 20,7
q0057,1,0,6 - 20 - 8 - 14 - 10 - 8 - 12 - ...,2 - 14,14 - 10,2 - 18,4 - 12,8
q0058,1,0,21 - 25 - 18 - 29 - 33 - 18 - ...,37 - 41,43 - 18,41 - 44,37 - 18,9
q0059,1,0,75 - 65 - 85 - 55 - 45 - 85 - 35 - ...,25 - 85,25 - 15,35 - 25,85 - 35,10
q0010,1,1,SCD - TEF - UGH - VIJ - ...,WKL,CMN,UJI,IJT,1
q0011,1,1,FAG - GAF - HAI - IAH - ...,JAK,HAK,HAL,JAI,2
q0012,1,1,ELFA - GLHA - ILJA - KLLA - ...,MLNA,OLPA,KLMA,LLMA,3
q0013,1,1,CMM - EOO - GQQ - ISS - ...,KUU,GRR,GSS,ITT,4
q0014,1,1,QPO - NML - KJI - HGF - ...,EDC,CAB,JKL,GHI,5
q0015,1,1,JAK - KBL - LCM - MDN - ...,NEO,OEP,MEN,PFQ,6
q0016,1,1,BCB - DED - FGF - HIH - ...,JKJ,HJH,IJI,JHJ,7
q0017,1,1,QAR - RAS - SAT - TAU - ...,UAV,UAT,TAS,TAT,8
q0018,1,1,DEF - DEF2 - DE2F2 - D2E2F2 - ...,D2E2F3,DEF3,D3EF3,D2E3F,9
q0019,1,1,B2CD - BC3D - BCD4 - B5CD - ...,BC6D,B2C2D,B2C3D,BCD7,10
q0060,1,1,A - C - F - J - O - ...,U,Q,V,T,1
q0061,1,1,B - L - E - O - H - R - ...,K,U,J,M,2
q0062,1,1,A - T - C - R - F - O - J - ...,K,J,L,M,3
q0063,1,1,AC - EG - BD - FH - IK - ...,JL,PS,LM,IJ,4
q0064,1,1,CAB - FDE - IGH - ...,LJK,ILK,JKW,LKJ,5
q0065,1,1,A - D - E - H - I - L - M - P - Q - T - U - ....,X,Y,U,V,6
q0066,1,1,CFI - DHL - EJO - ...,FLR,FIR,FLT,FLS,7
q0067,1,1,AZBY - CXDW - EVFU - ...,GTHS,CYDR,EXDZ,BYCZ,8
q0068,1,1,AM - BN - EI - FJ - CO - DP - GK - ...,HL,QR,BQ,OT,9
