q0000,2,0,EMBEZZLE,Misappropriate,Balance,Remunerate,Clear,1
q0001,2,0,AUGUST,Dignified,Common,Ridiculous,Petty,2
q0002,2,0,ALERT,Watchful,Energetic,Observant,Intelligent,3
q0003,2,0,BROWSE,Examine,Heal,Deceive,Strike,4
q0004,2,0,RESTRAINT,Restriction,Hindrance,Repression,Obstacle,5
q0005,2,0,VENUE,Place,Agenda,Time,Duration,6
q0006,2,0,CANDID,Frank,Explicit,Apparent,Bright,7
q0007,2,0,INSOMNIA,Sleeplessness,Lethargy,Drunkenness,Unconsciousness,8
q0008,2,0,LAUD,Praise,Lord,Eulogy,Extolled,9
q0009,2,0,IMPROMPTU,Offhand,Unimportant,Unreal,Effective,10
q0050,2,0,CORPULENT,Obese,Lean,Gaunt,Emaciated,1
q0051,2,0,BRIEF,Short,Limited,Small,Little,2
q0052,2,0,VENT,Opening,Stodge,End,Past tense of 'go',3
q0053,2,0,CANNY,Clever,Obstinate,Handsome,Stout,4
q0054,2,0,WARRIOR,Soldier,Pirate,Sailor,Spy,5
q0055,2,0,DISTANT,Far,Removed,Reserved,Separate,6
q0056,2,0,ADVERSITY,Misfortune,Failure,Helplessness,Crisis,7
q0057,2,0,FAKE,Imitation,Original,Trustworthy,Loyal,8
q0058,2,0,INDICT,Accuse,Condemn,Reprimand,Allege,9
q0059,2,0,STRINGENT,Rigorous,Dry,Strained,Shrill,10
q0010,2,1,ARTIFICIAL,Natural,Red,Truthful,Solid,1
q0011,2,1,MORTAL,Immortal,Divine,Spiritual,Eternal,2
q0012,2,1,DOUBTFUL,Certain,Famous,Fixed,Important,3
q0013,2,1,BENIGN,Malevolent,Soft,Friendly,Unwise,4
q0014,2,1,HINDRANCE,Aid,Persuasion,Cooperation,Agreement,5
q0015,2,1,BASE,Top,Climax,Height,Roof,6
q0016,2,1,GULLIBLE,Incredulous,Fickle,Easy,Stylish,7
q0017,2,1,REVEALED,Concealed,Denied,Ignored,Overlooked,8
q0018,2,1,FICKLE,Steadfast,Courageous,Sincere,Humble,9
q0019,2,1,VIRTUOUS,Wicked,Corrupt,Vicious,Scandalous,10
q0060,2,1,ENORMOUS,Tiny,Soft,Average,Weak,1
q0061,2,1,COMMISSIONED,Terminated,Started,Finished,Closed,2
q0062,2,1,EXODUS,Influx,Home-coming,Return,Restoration,3
q0063,2,1,RELINQUISH,Possess,Abdicate,Renounce,Deny,4
q0064,2,1,EXPAND,Condense,Convert,Congest,Conclude,5
q0065,2,1,QUIESCENT,Active,Dormant,Weak,Unconcerned,6
q0066,2,1,OBEYING,Ordering,Following,Refusing,Contradicting,7
q0067,2,1,FRAUDULENT,Genuine,Forthright,Candid,Direct,8
q0068,2,1,FLAGITIOUS,Innocent,Vapid,Ignorant,Frivolous,9
q0069,2,1,BELITTLE,Exaggerate,Criticize,Flatter,Adore,10
q0020,2,2,The study of ancient societies,History,Anthropology,Archaeology,Ethnology,1
q0021,2,2,A person who insists on something,Stickler,Disciplinarian,Instantaneous,Boaster,2
q0022,2,2,State in which the few govern the many,Oligarchy,Monarchy,Plutocracy,Autocracy,3
q0023,2,2,A school boy who cuts classes frequently is a,Truant,Defeatist,Sycophant,Martinet,4
q0024,2,2,Ready to believe,Credible,Credulous,Creditable,Incredible,5
q0025,2,2,A government by the nobles,Aristocracy,Democracy,Autocracy,Bureaucracy,6
q0026,2,2,Hater of learning and knowledge,Misologist,Bibliophile,Misogynist,Misanthropist,7
q0027,2,2,Incapable of being seen through,Opaque,Ductile,Obsolete,Potable,8
